image_id,image_name,study_label,income_quartile,model,task,raw_output,metric_value,manual_object_correct,caption_quality,error_type,review_notes
5d4be417cf0b3a0f3f33f7d4,5d4be417cf0b3a0f3f33f7d4.JPG,roof,Q4,qwen,captioning,The main household object is a ceiling light with a black lampshade.,True,,,,
5d4be53dcf0b3a0f3f341904,5d4be53dcf0b3a0f3f341904.JPG,light source,Q4,qwen,captioning,The main household object is a white rectangular vent on the ceiling.,False,,,,
5d4be631cf0b3a0f3f343397,5d4be631cf0b3a0f3f343397.JPG,light source,Q2,qwen,captioning,The main household object in the image is an illuminated light bulb.,True,,,,
5d4be664cf0b3a0f3f343977,5d4be664cf0b3a0f3f343977.JPG,light source,Q1,qwen,captioning,The main household object in the image is a compact fluorescent light bulb.,True,,,,
5d4be672cf0b3a0f3f343b13,5d4be672cf0b3a0f3f343b13.jpg,stove,Q3,qwen,captioning,The main household object is an electric oven with a pot on top.,True,,,,
5d4be6b3cf0b3a0f3f344270,5d4be6b3cf0b3a0f3f344270.JPG,footwear,Q4,qwen,captioning,The main household object in the image is a wooden shoe rack with multiple shelves containing various types of shoes and accessories.,True,,,,
5d4be76ecf0b3a0f3f3456d4,5d4be76ecf0b3a0f3f3456d4.jpg,trash container,Q2,qwen,captioning,The main household object is a plastic bag with a colorful label.,False,,,,
5d4be78acf0b3a0f3f345a14,5d4be78acf0b3a0f3f345a14.jpg,footwear,Q1,qwen,captioning,The main household object in the image is a pair of red flip-flops with visible wear and tear on a concrete surface.,False,,,,
5d4be7afcf0b3a0f3f345e48,5d4be7afcf0b3a0f3f345e48.jpg,trash container,Q1,qwen,captioning,The main household object in the image is a broken red plastic bucket with a concrete base.,False,,,,
5d4be7b6cf0b3a0f3f345f1c,5d4be7b6cf0b3a0f3f345f1c.jpg,trash container,Q1,qwen,captioning,The main household object in the image is a used syringe lying on the ground among other debris.,False,,,,
5d4be956cf0b3a0f3f3486e4,5d4be956cf0b3a0f3f3486e4.jpg,trash container,Q3,qwen,captioning,"The main household object in the image is a green and black garbage bin with a white label reading ""REMONDIS.""",True,,,,
5d4bea54cf0b3a0f3f34a3ac,5d4bea54cf0b3a0f3f34a3ac.jpg,roof,Q2,qwen,captioning,The main household object in the image is a wooden stick placed against a corrugated metal wall.,False,,,,
5d4beab2cf0b3a0f3f34aea4,5d4beab2cf0b3a0f3f34aea4.jpg,switch,Q1,qwen,captioning,The main household object in the image is an electrical panel with multiple switches and a red light indicator.,False,,,,
5d4bebdccf0b3a0f3f34d03d,5d4bebdccf0b3a0f3f34d03d.jpg,roof,Q4,qwen,captioning,"The main household object is a dormer window with a curved top and a small, dark-colored object inside.",False,,,,
5d4bec7acf0b3a0f3f34dfca,5d4bec7acf0b3a0f3f34dfca.jpg,switch,Q1,qwen,captioning,"The main household object in the image is an old, beige electrical switch panel with three toggle switches and several screws securing it to a metal surface.",True,,,,
5d4becefcf0b3a0f3f34eb88,5d4becefcf0b3a0f3f34eb88.jpg,light source,Q1,qwen,captioning,"The image shows a dark, cloudy sky with no visible objects.",False,,,,
5d4bed05cf0b3a0f3f34edce,5d4bed05cf0b3a0f3f34edce.jpg,stove,Q2,qwen,captioning,"The main household object is a small, portable gas stove with a single burner and a green base.",True,,,,
5d4bed75cf0b3a0f3f34fa6a,5d4bed75cf0b3a0f3f34fa6a.jpg,stove,Q1,qwen,captioning,The main household object is a metal gas cylinder with a hose attached to it.,False,,,,
5d4bee22cf0b3a0f3f350e6a,5d4bee22cf0b3a0f3f350e6a.jpg,stove,Q1,qwen,captioning,The main household object is a makeshift shelter constructed from bricks and corrugated metal sheets.,False,,,,
5d4bee51cf0b3a0f3f3512b8,5d4bee51cf0b3a0f3f3512b8.jpg,trash container,Q2,qwen,captioning,The main household object in this image is a compost pile.,False,,,,
5d4beebecf0b3a0f3f351f34,5d4beebecf0b3a0f3f351f34.jpg,footwear,Q1,qwen,captioning,The main household object in the image is a pair of flip-flops with colorful designs on them.,False,,,,
5d4beee5cf0b3a0f3f3523d2,5d4beee5cf0b3a0f3f3523d2.jpg,trash container,Q1,qwen,captioning,The main household object in this image is a white bird standing on the ground near a pile of trash.,False,,,,
5d4bef4dcf0b3a0f3f352fe2,5d4bef4dcf0b3a0f3f352fe2.jpg,stove,Q3,qwen,captioning,The main household object is a gas stove with four burners.,True,,,,
5d4bef59cf0b3a0f3f353156,5d4bef59cf0b3a0f3f353156.jpg,stove,Q1,qwen,captioning,The main household object is a black cast iron wok placed on a portable gas stove.,True,,,,
5d4bef5fcf0b3a0f3f353214,5d4bef5fcf0b3a0f3f353214.jpg,footwear,Q4,qwen,captioning,The main household object in the image is a pair of black and teal-colored flip-flops with a textured sole.,False,,,,
5d4bef87cf0b3a0f3f3536b6,5d4bef87cf0b3a0f3f3536b6.jpg,trash container,Q3,qwen,captioning,The main household object is a green plastic trash can with a white lid and a red handle.,True,,,,
5d4befa5cf0b3a0f3f353924,5d4befa5cf0b3a0f3f353924.jpg,trash container,Q4,qwen,captioning,The main household object is a black trash can with a white plastic bag inside.,True,,,,
5d4befc5cf0b3a0f3f353ce2,5d4befc5cf0b3a0f3f353ce2.jpg,stove,Q1,qwen,captioning,The main household object is a toy car with a yellow and blue color scheme.,False,,,,
5d4bf05ccf0b3a0f3f354caa,5d4bf05ccf0b3a0f3f354caa.jpg,roof,Q1,qwen,captioning,The main household object in this image is a corrugated metal roof with wooden beams and ropes.,True,,,,
5d4bf0b4cf0b3a0f3f3555cc,5d4bf0b4cf0b3a0f3f3555cc.jpg,light source,Q1,qwen,captioning,"The main household object in the image is an old, red lantern with a metal base and handle.",True,,,,
5d4bf131cf0b3a0f3f356206,5d4bf131cf0b3a0f3f356206.jpg,roof,Q2,qwen,captioning,The main household object is a metal downspout attached to a tiled roof.,True,,,,
5d4bf151cf0b3a0f3f356556,5d4bf151cf0b3a0f3f356556.jpg,switch,Q1,qwen,captioning,"The main household object in the image is an old, worn-out light switch mounted on a concrete wall with exposed bricks.",True,,,,
5d4bf185cf0b3a0f3f356a5e,5d4bf185cf0b3a0f3f356a5e.jpg,switch,Q2,qwen,captioning,The main household object is an electrical panel with multiple switches and a red light indicator.,False,,,,
5d4bf191cf0b3a0f3f356bb4,5d4bf191cf0b3a0f3f356bb4.jpg,trash container,Q2,qwen,captioning,The main household object in the image is a banana leaf.,False,,,,
5d4bf260cf0b3a0f3f3582cc,5d4bf260cf0b3a0f3f3582cc.jpg,switch,Q1,qwen,captioning,The main household object in the image is an old-fashioned electrical plug with a white plastic body and two prongs.,False,,,,
5d4bf27dcf0b3a0f3f358554,5d4bf27dcf0b3a0f3f358554.jpg,trash container,Q1,qwen,captioning,The main household object is a wooden crate filled with various vegetables and plants.,False,,,,
5d4bf296cf0b3a0f3f35885a,5d4bf296cf0b3a0f3f35885a.jpg,footwear,Q3,qwen,captioning,The main household object in the image is a three-tier metal shoe rack containing various pairs of shoes and a blue cloth.,True,,,,
5d4bf2b2cf0b3a0f3f358bb0,5d4bf2b2cf0b3a0f3f358bb0.jpg,stove,Q2,qwen,captioning,The main household object is an old-fashioned brick oven with a large metal pan on top.,True,,,,
5d4bf2d6cf0b3a0f3f358fea,5d4bf2d6cf0b3a0f3f358fea.jpg,footwear,Q2,qwen,captioning,The main household object in the image is a pair of worn-out blue slippers with visible wear and tear on the soles.,True,,,,
5d4bf349cf0b3a0f3f359cee,5d4bf349cf0b3a0f3f359cee.jpg,trash container,Q1,qwen,captioning,The main household object in the image is a blue plastic container with a pink lid.,False,,,,
5d4bf3a8cf0b3a0f3f35a67c,5d4bf3a8cf0b3a0f3f35a67c.jpg,roof,Q1,qwen,captioning,The main household object in the image is a woven straw roof.,True,,,,
5d4bf40ecf0b3a0f3f35afd2,5d4bf40ecf0b3a0f3f35afd2.jpg,trash container,Q3,qwen,captioning,A yellow plastic bag is tied around a metal trash can.,True,,,,
5ec4f5caf4a4fb7dc0387a0c,5ec4f5caf4a4fb7dc0387a0c.jpg,stove,Q4,qwen,captioning,The main household object in the image is a black oven with control knobs and a blue sponge holder attached to it.,True,,,,
5ec4f81af0611d7ddd740be2,5ec4f81af0611d7ddd740be2.jpg,switch,Q1,qwen,captioning,The main household object is an electrical outlet with wires connected to it.,False,,,,
5ec4f834f0611d7ddd740cc3,5ec4f834f0611d7ddd740cc3.JPG,light source,Q4,qwen,captioning,The main household object is a table lamp with a geometric wooden base and a white fabric shade.,True,,,,
5ec4f86df0611d7ddd740eb2,5ec4f86df0611d7ddd740eb2.jpg,roof,Q3,qwen,captioning,The main household object in the image is a set of orange and gray concrete stairs.,False,,,,
5ec4f90ef0611d7ddd741415,5ec4f90ef0611d7ddd741415.jpg,light source,Q4,qwen,captioning,The main household object is a vintage-style table lamp with a beige lampshade and an ornate metal base.,True,,,,
5ec4f91cf0611d7ddd74148c,5ec4f91cf0611d7ddd74148c.jpg,light source,Q4,qwen,captioning,The main household object in the image is a bedside lamp with a white cylindrical body and a glowing light at the top.,True,,,,
5ec4f97ef0611d7ddd7417d1,5ec4f97ef0611d7ddd7417d1.jpg,roof,Q3,qwen,captioning,The main household object in this image is a pink bathroom with white tiles and a pink door frame.,False,,,,
5ec4f9e1f0611d7ddd741b27,5ec4f9e1f0611d7ddd741b27.JPG,trash container,Q3,qwen,captioning,The main household object is a woven bamboo wall.,False,,,,
5ec4f9f2f0611d7ddd741bae,5ec4f9f2f0611d7ddd741bae.JPG,roof,Q2,qwen,captioning,The main household object in the image is a spiral staircase made of dark wood.,False,,,,
5ec4fa3cf0611d7ddd741e2c,5ec4fa3cf0611d7ddd741e2c.JPG,trash container,Q4,qwen,captioning,The main household object in the image is a blue plastic trash can with a purple lid.,True,,,,
5ec4fa7bf0611d7ddd74200b,5ec4fa7bf0611d7ddd74200b.jpg,stove,Q2,qwen,captioning,The main household object is a stainless steel oven with a digital display and control panel.,True,,,,
5ec4fa8ff0611d7ddd7420b5,5ec4fa8ff0611d7ddd7420b5.jpg,light source,Q2,qwen,captioning,The main household object is a light bulb hanging from the ceiling.,True,,,,
5ec4fb02f0611d7ddd742487,5ec4fb02f0611d7ddd742487.jpg,stove,Q3,qwen,captioning,The main household object is a gas stove with four burners.,True,,,,
5ec4fb68f0611d7ddd7427d4,5ec4fb68f0611d7ddd7427d4.jpg,switch,Q2,qwen,captioning,The main household object in the image is a white light switch mounted on a wall.,True,,,,
5ec4fb75f0611d7ddd74284a,5ec4fb75f0611d7ddd74284a.jpg,footwear,Q3,qwen,captioning,The main household object in the image is a pair of blue Crocs clogs with various colorful stickers on them.,False,,,,
5ec4fb81f0611d7ddd7428b0,5ec4fb81f0611d7ddd7428b0.jpg,light source,Q2,qwen,captioning,The main household object in this image is a light bulb.,True,,,,
5ec4fba1f0611d7ddd7429bc,5ec4fba1f0611d7ddd7429bc.jpg,light source,Q3,qwen,captioning,The main household object is a ceiling with a light fixture.,True,,,,
5f8c634fe894f07b8477dfbe,5f8c634fe894f07b8477dfbe.jpg,switch,Q2,qwen,captioning,The main household object in the image is an electrical panel with various switches and a light bulb.,False,,,,
5fa325b3a4fd6154365dfcd4,5fa325b3a4fd6154365dfcd4.jpeg,switch,Q3,qwen,captioning,The main household object in the image is an electrical outlet with a matching switch above it.,True,,,,
